х1,х2,х3,х4,х5,х6,х7,х8,У
6.65,36.71,3.09,7.38,0.58,8.95,6.84,0.18,0
6.52,36.76,3.04,7.46,0.55,9.21,6.97,0.18,0
6.57,36.74,2.35,7.41,0.55,7.83,7.43,0.17,0
6.94,36.59,2.47,7.43,0.62,9.07,7.54,0.17,1
6.83,36.64,2.24,7.51,0.59,8.03,7.34,0.17,0
7.03,36.56,0.87,7.59,0.59,7.84,7.35,0.17,0
7.07,36.54,0.14,7.48,0.58,8.26,7.39,0.17,0
6.96,36.58,0.64,7.6,0.58,7.7,7.26,0.17,0
6.73,36.68,3.56,7.44,0.57,8.64,6.95,0.18,0
6.81,36.64,0.4,7.39,0.57,9.16,7.34,0.18,0
6.82,36.64,3.13,7.65,0.56,8.45,6.94,0.17,0
6.42,36.8,1.99,7.35,0.6,9.25,7.34,0.18,0
7.41,36.4,6.27,7.51,0.61,9.18,7.3,0.18,0
7.06,36.55,0.62,7.66,0.55,7.45,7.12,0.17,0
6.8,36.65,2.27,7.45,0.55,8.03,7.54,0.18,1
7.38,36.42,1.92,7.5,0.6,8.63,7.66,0.17,1
6.85,36.63,3.74,7.54,0.58,10.03,7.36,0.18,0
6.53,36.76,5.47,7.4,0.53,8.88,7.11,0.18,0
6.56,36.74,3.99,7.46,0.54,8.96,6.89,0.18,0
7.38,36.42,3.14,7.45,0.53,8.78,7.27,0.17,0
6.9,36.61,3.4,7.52,0.58,7.61,7.22,0.17,0
6.57,36.74,3.66,7.65,0.59,8.9,7.39,0.18,0
7.35,36.43,1.55,7.44,0.6,8.34,7.2,0.17,0
6.68,36.7,2.48,7.59,0.55,7.61,7.13,0.17,0
7.24,36.47,3.97,7.46,0.54,8.17,7.25,0.17,0
7.14,36.51,1.88,7.5,0.59,6.74,6.99,0.16,0
6.67,36.7,3.03,7.47,0.6,8.92,7.53,0.18,1
6.98,36.57,2.38,7.46,0.55,8.65,7.25,0.17,0
7.29,36.45,2.97,7.56,0.56,6.56,7.6,0.17,1
7.28,36.46,2.72,7.46,0.57,9.36,7.18,0.18,0
7.12,36.52,3.19,7.43,0.6,7.91,7.29,0.17,0
6.73,36.68,2.73,7.49,0.55,7.7,7.13,0.18,0
6.85,36.63,5.49,7.53,0.6,8.95,7.23,0.19,1
7.5,36.37,3.69,7.55,0.6,7.94,6.75,0.18,0
7.34,36.43,1.82,7.48,0.56,8.43,7.29,0.17,0
6.61,36.73,5.4,7.59,0.56,8.56,6.97,0.18,0
7.05,36.55,0.25,7.54,0.56,8.49,7.15,0.17,0
6.87,36.62,3.36,7.44,0.56,7.93,7.07,0.18,0
7.31,36.44,3.27,7.62,0.59,9.2,7.34,0.18,0
7.33,36.44,2.44,7.44,0.58,8.02,7.19,0.17,0
7.52,36.36,2.34,7.53,0.55,8.15,7.28,0.17,0
6.73,36.68,4.51,7.51,0.59,8.52,7.41,0.18,0
7.39,36.41,1.28,7.65,0.63,7.69,7.09,0.17,0
7.01,36.56,3.32,7.45,0.56,7.49,7.2,0.19,1
6.7,36.69,2.13,7.45,0.55,9.52,7.18,0.18,0
7.4,36.41,4.48,7.45,0.6,8.41,7.25,0.18,0
6.19,36.89,2.83,7.5,0.54,9.67,7.09,0.19,1
6.27,36.86,2.87,7.51,0.57,9.09,6.8,0.17,0
6.51,36.77,2.92,7.35,0.58,10.23,7.42,0.18,0
7.65,36.31,0.84,7.52,0.53,7.23,7.11,0.17,0
7.34,36.43,4.89,7.48,0.59,8.51,7.16,0.18,0
6.8,36.65,2.52,7.46,0.57,7.48,7.29,0.18,0
6.6,36.73,2.41,7.39,0.61,8.8,7.42,0.18,0
6.97,36.58,1.62,7.44,0.6,9.64,7.5,0.17,1
7.08,36.54,2.94,7.52,0.59,8.8,7.16,0.17,0
6.65,36.71,1.11,7.35,0.57,8.77,7.31,0.17,0
7.07,36.54,2.22,7.46,0.56,9.41,7.51,0.18,1
6.55,36.75,5.15,7.59,0.57,8.21,6.99,0.18,0
6.63,36.72,0.94,7.66,0.51,8.34,7.24,0.16,0
6.22,36.88,2.02,7.33,0.59,8.4,7.58,0.18,1
7.54,36.35,1.43,7.53,0.54,8.08,7.57,0.18,1
6.47,36.78,4.3,7.58,0.55,8.58,7.1,0.18,0
7.11,36.53,2.52,7.51,0.6,7.71,7.23,0.17,0
6.76,36.67,2.03,7.47,0.55,9.15,7.19,0.18,0
6.91,36.6,2.98,7.51,0.6,7.35,7.01,0.17,0
7.46,36.39,3.85,7.34,0.59,8.24,7.13,0.18,0
6.7,36.69,4.02,7.44,0.56,8.23,7.05,0.18,0
6.59,36.73,3.61,7.61,0.58,8.37,7.13,0.18,0
6.86,36.62,2.1,7.57,0.54,8.03,7.09,0.17,0
7.37,36.42,3.48,7.56,0.54,8,6.76,0.18,0
7.35,36.43,3.49,7.54,0.59,10.06,7.06,0.17,0
7.31,36.44,4.39,7.5,0.6,8.38,7.27,0.18,0
7.3,36.45,3.19,7.5,0.55,8.37,7.33,0.17,0
7.04,36.55,4.01,7.62,0.57,7.2,7.04,0.17,0
6.93,36.59,0.88,7.5,0.52,7.86,7.13,0.17,0
6.96,36.58,3.23,7.6,0.53,8.02,7.16,0.17,0
7.2,36.49,4.44,7.55,0.51,9.09,7.02,0.17,0
7.5,36.37,2.46,7.52,0.58,7.03,7.07,0.17,0
6.88,36.62,0.29,7.38,0.55,9.87,7.44,0.17,0
6.47,36.78,3.42,7.52,0.58,7.91,6.94,0.18,0
6.88,36.61,0.66,7.54,0.57,8.96,7.33,0.17,0
7.2,36.49,1.05,7.45,0.53,8.7,7.17,0.17,0
7.06,36.54,0.02,7.54,0.54,8.17,7.18,0.18,0
6.58,36.74,5.69,7.56,0.58,8.87,7.33,0.18,0
7.13,36.52,1.48,7.45,0.55,8.76,7.3,0.17,0
6.52,36.76,2.27,7.58,0.6,7.99,7.29,0.17,0
7.08,36.54,4.16,7.46,0.58,8.86,7.32,0.18,0
6.57,36.74,3.53,7.5,0.52,7.39,7.13,0.17,0
6.96,36.59,3.04,7.47,0.56,9.55,7.13,0.18,0
6.77,36.66,3.28,7.36,0.52,5.92,7.13,0.18,0
7.12,36.52,2.99,7.43,0.55,8.27,7.5,0.18,1
6.97,36.58,0.99,7.62,0.56,8.42,7.36,0.18,0
7,36.57,1.12,7.49,0.52,8.11,7.41,0.17,0
6.69,36.69,4.34,7.47,0.57,9.34,7.05,0.18,0
7.24,36.47,2.01,7.52,0.56,6.87,7.22,0.17,0
6.55,36.75,2.46,7.5,0.65,9.01,7.46,0.18,1
6.2,36.89,3.27,7.52,0.52,7.98,7.42,0.18,0
7.18,36.5,2.78,7.5,0.58,7.34,7.38,0.17,0
6.61,36.72,2.77,7.51,0.54,9.17,7.4,0.18,0
7.09,36.53,3.32,7.67,0.61,8.09,7.04,0.17,0
6.87,36.62,1.52,7.38,0.59,8.56,7.13,0.17,0
6.64,36.71,2.31,7.39,0.6,8.22,7.14,0.17,0
7.08,36.54,2.46,7.45,0.66,8.39,7.17,0.17,1
6.71,36.69,1.35,7.36,0.58,7.71,7.38,0.17,0
7.11,36.52,3.54,7.47,0.62,8.84,6.92,0.18,0
6.58,36.74,5.91,7.53,0.54,8.61,7.09,0.18,0
6.64,36.71,1.97,7.49,0.59,7.88,7.15,0.17,0
6.69,36.69,1.29,7.43,0.57,8.12,7.25,0.18,0
6.68,36.7,3.75,7.56,0.58,7.99,7.16,0.18,0
6.49,36.77,1.35,7.44,0.57,7.55,7.01,0.17,0
7.09,36.53,0.93,7.46,0.57,8.39,7.25,0.16,0
7.64,36.31,1.13,7.54,0.56,8.75,7.24,0.17,0
6.67,36.7,4.85,7.44,0.52,9.36,7.37,0.18,0
6.86,36.62,1.51,7.4,0.53,7.49,7.39,0.18,0
7,36.57,0.62,7.64,0.57,8.66,7.28,0.17,0
7.21,36.48,1.64,7.48,0.58,9.12,7.22,0.17,0
7.62,36.32,1.62,7.54,0.52,8.52,7.08,0.17,0
6.82,36.64,1.79,7.52,0.55,8.47,7.25,0.18,0
6.4,36.81,3.94,7.4,0.59,8.16,7.38,0.19,1
6.47,36.78,1.99,7.57,0.57,7.8,7.14,0.17,0
6.84,36.63,4.59,7.56,0.56,9.02,7.48,0.18,1
6.75,36.67,4.37,7.53,0.54,9.23,7.29,0.19,1
7.63,36.32,3.64,7.48,0.6,8.7,7.05,0.18,0
7.09,36.53,1.17,7.5,0.57,7.98,7.12,0.17,0
7.14,36.51,2.36,7.46,0.59,7.52,7.21,0.18,0
7.39,36.41,1.05,7.39,0.62,7.88,7.11,0.18,0
7.89,36.21,5.79,7.39,0.53,7.61,7.13,0.19,1
7.43,36.4,1.37,7.47,0.52,7.39,7.15,0.17,0
6.54,36.75,0.58,7.49,0.55,8.84,7.21,0.17,0
7.02,36.56,1.59,7.51,0.58,7.64,7.29,0.17,0
6.29,36.85,1.07,7.52,0.58,7.3,7.19,0.17,0
6.83,36.64,1.73,7.64,0.58,7.37,7.15,0.18,0
7.23,36.48,3.35,7.61,0.56,7.64,7.36,0.17,0
6.54,36.75,2.14,7.5,0.55,7.23,6.97,0.17,0
7.05,36.55,4.48,7.61,0.61,8.28,6.95,0.18,0
6.81,36.65,3.57,7.54,0.57,7.94,7.09,0.18,0
7.14,36.51,2.81,7.61,0.56,8.63,6.61,0.17,0
6.65,36.71,0.56,7.5,0.54,8.18,7.14,0.16,0
6.93,36.59,2.15,7.51,0.58,7.42,6.7,0.17,0
7,36.57,2.89,7.53,0.53,8.15,7.25,0.18,0
7.5,36.37,2.07,7.57,0.63,8.06,7.15,0.17,0
6.71,36.69,2.22,7.58,0.59,8.41,7.39,0.18,0
6.73,36.68,1.94,7.4,0.57,8.38,7.27,0.18,0
6.39,36.81,4.48,7.51,0.52,8.89,7.05,0.18,0
7.27,36.46,1.67,7.6,0.59,7.56,7,0.17,0
6.81,36.64,1.9,7.54,0.56,7.77,7.15,0.17,0
6.76,36.67,3.87,7.43,0.56,9.41,7.11,0.18,0
6.57,36.74,0.79,7.49,0.57,8.24,6.87,0.17,0
6.82,36.64,2.01,7.47,0.56,8.11,7.07,0.17,0
6.73,36.68,4.97,7.59,0.59,7.35,7.36,0.18,0
7.01,36.57,2.67,7.49,0.55,9.43,7.25,0.17,0
6.97,36.58,2.62,7.41,0.56,7.99,7.08,0.18,0
7.17,36.5,3.28,7.46,0.51,8.83,7.03,0.18,0
7.06,36.55,2.86,7.61,0.55,8.5,7.14,0.18,0
7.22,36.48,1.44,7.38,0.59,7.24,6.95,0.17,0
6.94,36.59,0.66,7.49,0.55,7.85,7.06,0.17,0
7.44,36.39,0.26,7.51,0.57,7.43,7.11,0.17,0
6.56,36.74,3.98,7.45,0.56,8.52,7.08,0.18,0
6.97,36.58,3.1,7.53,0.56,9.52,7.24,0.18,0
6.73,36.68,2.29,7.44,0.57,9.27,7.35,0.17,0
6.86,36.62,1.36,7.58,0.57,9.82,7.17,0.17,0
6.51,36.76,1.94,7.61,0.54,9.31,7.02,0.17,0
7.11,36.53,1.48,7.51,0.61,7.44,7.25,0.17,0
6.97,36.58,1.49,7.47,0.54,8.69,7.11,0.17,0
6.63,36.72,4.73,7.47,0.59,7.82,7.46,0.18,1
7.39,36.41,2.37,7.5,0.58,7.63,7.22,0.17,0
7.15,36.51,2.22,7.44,0.58,9.11,7.15,0.17,0
7.42,36.4,2.61,7.55,0.6,9.26,7.33,0.17,0
7.05,36.55,2.28,7.62,0.53,8.16,7.16,0.17,0
7.01,36.57,1.24,7.39,0.54,8.44,7.45,0.18,1
6.83,36.64,0.86,7.44,0.54,8.46,6.86,0.17,0
7.26,36.46,0.04,7.48,0.56,7.74,7.18,0.17,0
7.09,36.53,0.63,7.52,0.58,8.93,7.27,0.16,0
7.2,36.49,3.32,7.61,0.64,7.42,7.02,0.17,0
6.78,36.65,2.7,7.5,0.59,7.46,7.37,0.17,0
6.69,36.69,2.52,7.52,0.57,8.48,7.13,0.18,0
6.42,36.8,3.65,7.42,0.59,7.99,6.98,0.18,0
6.95,36.59,2.83,7.42,0.58,8.62,7.07,0.17,0
7.62,36.32,0.99,7.53,0.59,8.21,7.45,0.17,1
7.17,36.5,1.3,7.46,0.58,8.02,7.62,0.17,1
7.25,36.47,1.48,7.49,0.52,7.9,7.57,0.17,1
6.78,36.65,3.47,7.5,0.59,8.8,7.3,0.18,0
6.82,36.64,4.15,7.45,0.53,8.83,7.21,0.18,0
6.95,36.59,2.5,7.53,0.58,6.69,7.39,0.17,0
6.96,36.58,3.13,7.46,0.54,7.82,7.07,0.18,0
6.8,36.65,1.46,7.51,0.56,8.17,7.09,0.17,0
6.82,36.64,0.4,7.47,0.57,7.8,7.43,0.18,0
7.05,36.55,0.46,7.4,0.55,8.45,7.53,0.17,1
6.67,36.7,1.85,7.51,0.58,7.87,7.1,0.17,0
7.05,36.55,1.37,7.45,0.58,7.96,7.12,0.17,0
7.17,36.5,1.65,7.42,0.57,7.45,7.14,0.17,0
6.84,36.63,1.7,7.48,0.59,8.25,7.41,0.18,0
7.6,36.33,4,7.48,0.58,8.57,6.88,0.17,0
6.94,36.59,1.92,7.51,0.55,7.67,6.93,0.17,0
6.95,36.59,2.22,7.43,0.58,8.14,7.34,0.18,0
7.25,36.47,4.79,7.43,0.58,8.95,6.92,0.19,1
7.21,36.48,0.67,7.47,0.56,7.28,7.48,0.17,1
6.68,36.7,3.98,7.48,0.54,8.69,7.17,0.18,0
6.84,36.63,0.12,7.44,0.59,8.87,7.48,0.17,1
6.62,36.72,3.77,7.55,0.52,8.41,7.11,0.18,0
7.08,36.54,2.93,7.5,0.58,9.35,7.23,0.17,0
6.98,36.58,1.67,7.46,0.55,9.26,6.94,0.17,0
6.82,36.64,1.79,7.46,0.59,8.47,6.88,0.18,0
7.28,36.46,3.99,7.38,0.58,7.91,7.21,0.18,0
7.12,36.52,7.42,7.57,0.55,8.93,7.12,0.19,1
6.92,36.6,3.41,7.64,0.57,9.25,7.24,0.19,1
6.85,36.63,4.08,7.5,0.6,8.01,7.23,0.18,0
7.48,36.38,2.11,7.5,0.56,8.9,7.43,0.18,0
6.77,36.66,1.55,7.47,0.57,7.83,7.32,0.18,0
6.76,36.67,4.41,7.58,0.56,8.01,6.99,0.18,0
6.61,36.72,1.32,7.64,0.59,8.43,7.23,0.17,0
6.95,36.59,3.29,7.54,0.59,8.63,7.19,0.18,0
7.12,36.52,1.33,7.5,0.6,8.76,7.08,0.17,0
6.95,36.59,2.71,7.6,0.56,8.65,7.17,0.18,0
6.57,36.74,4.76,7.57,0.56,9.68,7.22,0.18,0
6.97,36.58,0.49,7.56,0.6,8.57,7.25,0.17,0
6.68,36.7,0.93,7.42,0.62,8.83,7.33,0.17,0
6.23,36.88,3.16,7.51,0.61,9.49,7.39,0.18,0
6.95,36.59,1.6,7.48,0.59,7.77,7.11,0.17,0
6.5,36.77,8.07,7.52,0.5,7.85,6.98,0.19,1
6.59,36.73,3.84,7.57,0.59,9.71,7.26,0.18,0
6.87,36.62,2.56,7.45,0.55,8.05,6.85,0.18,0
6.88,36.62,1.29,7.48,0.58,8.57,7.01,0.17,0
7.35,36.43,2.74,7.53,0.51,8.24,7.27,0.18,0
6.82,36.64,2.45,7.5,0.54,7.63,7.31,0.18,0
6.87,36.62,2.48,7.43,0.59,7.91,7.09,0.17,0
6.84,36.63,2.81,7.58,0.59,8.51,7.23,0.17,0
6.87,36.62,1.58,7.51,0.64,8.88,7.36,0.17,0
6.64,36.71,3.34,7.52,0.58,8.63,7.09,0.18,0
6.83,36.64,1.75,7.51,0.57,7.4,7.02,0.17,0
7,36.57,1.1,7.54,0.56,8.89,7.53,0.17,1
7.54,36.35,2.2,7.44,0.57,7.44,7.34,0.17,0
6.96,36.59,2.87,7.41,0.56,7.73,7.12,0.17,0
7.45,36.39,0.98,7.49,0.56,9.27,7.22,0.17,0
6.9,36.61,2.8,7.49,0.59,9.2,7.69,0.18,1
7.48,36.38,0.39,7.5,0.6,7.64,7.38,0.17,0
7.24,36.47,2.36,7.56,0.58,9.3,7.02,0.17,0
7.21,36.48,3.07,7.46,0.55,9.84,7.49,0.17,1
6.97,36.58,3.5,7.43,0.49,8.2,7.19,0.17,0
5.89,37.01,2.31,7.47,0.57,7.81,6.85,0.18,1
6.85,36.63,3.01,7.37,0.54,8.13,7.17,0.17,0
7.09,36.53,2.73,7.65,0.57,9.02,7.1,0.18,0
6.42,36.8,3.58,7.48,0.58,8.64,6.87,0.18,0
7.41,36.41,1.74,7.36,0.53,8.07,7.04,0.17,0
7.54,36.35,4.72,7.52,0.56,8.4,7.14,0.18,0
6.77,36.66,3.44,7.6,0.59,9.32,7.2,0.18,0
6.47,36.78,2.91,7.42,0.55,8.74,6.9,0.18,0
7.04,36.55,1.5,7.59,0.56,9,7.2,0.17,0
7.26,36.46,2.27,7.6,0.61,8.09,7.31,0.17,0
7.11,36.52,1.5,7.6,0.62,7.92,7.44,0.17,0
6.87,36.62,4.68,7.34,0.52,7.14,7.31,0.18,0
6.97,36.58,5.1,7.55,0.58,8.8,6.87,0.18,0
7.2,36.49,0.07,7.49,0.56,7.65,7.21,0.17,0
6.59,36.73,4.59,7.48,0.56,8.26,7.24,0.18,0
7.43,36.4,0.66,7.6,0.54,7.63,6.98,0.17,0
7.35,36.43,3.13,7.65,0.6,8.18,7.29,0.18,0
7.16,36.5,4.29,7.45,0.57,9.54,7.08,0.18,0
6.4,36.81,2.38,7.44,0.58,8.9,7.11,0.18,0
7.12,36.52,0.57,7.46,0.61,8.12,7.42,0.17,0
6.44,36.79,3.04,7.63,0.51,9.96,7.17,0.17,0
7.06,36.54,3.93,7.51,0.61,8.48,7.22,0.18,0
6.44,36.79,2.51,7.44,0.52,8.76,7.14,0.18,0
7.12,36.52,4.26,7.63,0.6,7.28,7.03,0.18,0
6.92,36.6,1.76,7.59,0.59,6.69,7.05,0.16,0
6.88,36.61,1.72,7.55,0.57,8.32,6.97,0.18,0
6.12,36.92,4.6,7.54,0.55,8.74,7.03,0.18,1
6.57,36.74,0.75,7.51,0.57,9.1,7.15,0.17,0
7.55,36.35,0.66,7.5,0.61,8.19,7.66,0.17,1
6.73,36.68,4.93,7.46,0.56,8.46,7.08,0.18,0
6.94,36.59,2.49,7.53,0.54,6.56,7.29,0.18,0
6.76,36.67,2.37,7.48,0.63,7.56,6.93,0.17,0
7.3,36.45,4.29,7.42,0.57,9.45,7.3,0.18,0
7.11,36.52,4.32,7.53,0.59,8.68,7.06,0.17,0
7.91,36.21,1.68,7.4,0.52,7.78,7.18,0.17,1
6.72,36.68,1.96,7.57,0.61,8.27,7.1,0.18,0
7.35,36.43,3.28,7.51,0.62,7.82,7.04,0.18,0
7.63,36.32,2,7.56,0.6,7.46,6.73,0.17,0
7.15,36.51,0.65,7.58,0.63,8.9,7.51,0.17,1
7.39,36.41,3.19,7.52,0.6,7.99,6.67,0.17,0
6.72,36.68,3.07,7.63,0.57,9.48,7.57,0.18,1
7.19,36.49,1.94,7.52,0.55,8.85,7.33,0.17,0
7.38,36.42,1.05,7.51,0.6,9.69,7.33,0.17,0
7.38,36.42,4.83,7.64,0.56,9.23,7.29,0.17,0
7.79,36.25,2.7,7.53,0.58,8.67,7.18,0.17,0
7.01,36.57,3.8,7.45,0.57,7.9,6.95,0.18,0
7.6,36.33,2.82,7.32,0.57,7.44,7.33,0.17,0
5.95,36.99,2.94,7.54,0.6,9.38,7.32,0.18,1
6.31,36.84,2.89,7.41,0.52,7.55,6.83,0.18,0
7.07,36.54,2.21,7.38,0.53,8.52,7.3,0.18,0
6.44,36.79,0.35,7.47,0.57,6.82,6.97,0.17,0
6.77,36.66,3.68,7.43,0.62,8.01,6.79,0.18,0
7.73,36.28,2.49,7.51,0.57,9.11,7.21,0.17,0
7.15,36.51,3.06,7.5,0.55,8.77,7.32,0.18,0
6.99,36.57,2.26,7.28,0.62,9.41,7.18,0.17,0
7.14,36.51,2.32,7.45,0.58,8.74,7.32,0.17,0
6.96,36.58,3.57,7.66,0.64,9.09,7.18,0.18,0
6.56,36.75,0.57,7.33,0.54,9.8,7.26,0.17,0
7.02,36.56,1.81,7.43,0.55,8.02,7.44,0.17,0
6.89,36.61,2.05,7.46,0.55,8.54,7.09,0.18,0
6.67,36.7,0.97,7.45,0.59,8.46,7.55,0.17,1
7.44,36.39,2.28,7.58,0.56,7.6,7.13,0.17,0
6.25,36.87,1.96,7.47,0.56,8.03,7.29,0.17,0
7.22,36.48,1.53,7.46,0.63,7.03,6.91,0.17,0
6.81,36.64,3.9,7.69,0.54,8.53,7.01,0.18,0
5.91,37.01,3.88,7.47,0.61,9.12,7.24,0.18,1
6.68,36.7,3.62,7.43,0.52,9.29,7.37,0.18,0
7.4,36.41,1.79,7.45,0.54,6.36,6.91,0.17,0
7.37,36.42,0.27,7.59,0.55,8.6,7.01,0.18,0
6.89,36.61,0.04,7.39,0.56,7.27,7.04,0.17,0
6.65,36.71,1.66,7.55,0.56,9.07,7.12,0.17,0
7.17,36.5,0.92,7.53,0.57,7.71,7.36,0.16,0
6.97,36.58,2.57,7.49,0.53,8.74,7.61,0.18,1
6.21,36.88,2.49,7.43,0.56,10.02,7.5,0.18,1
7.11,36.52,3.61,7.48,0.56,8.02,7.08,0.18,0
6.56,36.75,3.07,7.5,0.62,8.51,7.2,0.18,0
6.33,36.84,2.65,7.54,0.6,9.29,7.25,0.18,0
7.04,36.55,1.77,7.6,0.55,7.83,7.15,0.17,0
6.87,36.62,1.98,7.48,0.56,9.81,7.23,0.18,0
6.12,36.92,1.45,7.49,0.57,7.74,7,0.18,1
6.95,36.59,4.04,7.4,0.57,7.49,7.09,0.18,0
6.63,36.72,0,7.49,0.58,8.42,7.39,0.17,0
7.08,36.54,0.38,7.39,0.56,8.9,7.07,0.17,0
7.04,36.55,4.59,7.55,0.58,8.12,7.41,0.19,1
7.29,36.45,3.66,7.46,0.56,9.65,7.32,0.18,0
7.05,36.55,2.99,7.46,0.56,8.65,7.09,0.18,0
6.99,36.57,5.52,7.37,0.6,9.11,7.01,0.18,0
6.4,36.81,0.5,7.6,0.55,8.27,7.05,0.17,0
6.82,36.64,2.58,7.46,0.62,8.62,7.25,0.18,0
7.29,36.45,0.43,7.6,0.56,8.75,7.15,0.17,0
7.81,36.25,1.79,7.42,0.54,9.05,7.26,0.17,0
7.3,36.45,5.92,7.43,0.6,10.13,6.9,0.18,0
7.01,36.56,2.25,7.47,0.56,8.95,7.1,0.17,0
7.73,36.28,2.65,7.42,0.53,7.39,7.19,0.17,0
6.64,36.71,3.65,7.41,0.59,8.24,7.19,0.18,0
6.97,36.58,2.15,7.52,0.59,9.2,7.32,0.17,0
7.51,36.36,1.56,7.46,0.56,7.74,7.08,0.18,0
7.12,36.52,0.95,7.59,0.59,8.57,7.16,0.17,0
7.25,36.47,2.38,7.6,0.6,8.81,7.03,0.17,0
7.02,36.56,1.8,7.47,0.57,9.47,7.12,0.17,0
7.37,36.42,4.06,7.5,0.54,8.77,7.07,0.18,0
6.89,36.61,1.04,7.53,0.64,7.92,7.29,0.17,0
7.21,36.48,3.33,7.58,0.59,8.85,7.29,0.18,0
6.77,36.66,1.93,7.48,0.57,7.75,7.13,0.18,0
6.78,36.66,4.93,7.52,0.59,8.69,7.46,0.18,1
6.43,36.8,3.92,7.58,0.59,9.05,7.41,0.18,0
7.05,36.55,4.43,7.45,0.57,9.41,7.35,0.18,0
7.51,36.37,1.98,7.43,0.61,8.3,7.6,0.18,1
7.22,36.48,4.42,7.56,0.6,9.62,7.13,0.18,0
6.85,36.63,2.08,7.47,0.57,8.56,7.31,0.17,0
7.09,36.53,3.31,7.53,0.61,7.47,7.38,0.19,1
7.19,36.49,1.45,7.59,0.62,8.13,7.41,0.17,0
7.45,36.39,4.08,7.53,0.54,6.5,7.22,0.18,0
7.84,36.23,4.57,7.53,0.56,7.61,7.48,0.19,1
6.9,36.61,2.27,7.38,0.59,8.25,7.25,0.18,0
6.92,36.6,3.22,7.56,0.61,9.09,7.36,0.18,0
7.31,36.44,0.16,7.54,0.56,8.24,7.23,0.17,0
6.11,36.93,3.19,7.63,0.59,8.44,7.09,0.18,1
6.77,36.66,1.15,7.57,0.54,7.37,7.3,0.17,0
7.1,36.53,4.79,7.54,0.57,8.13,6.86,0.18,0
7.21,36.48,1.95,7.42,0.59,8.66,7.15,0.17,0
6.7,36.69,3.94,7.39,0.53,8.92,6.95,0.18,0
7.74,36.27,1.03,7.54,0.59,8.3,7.45,0.17,1
6.8,36.65,0.55,7.57,0.58,8.52,7.35,0.17,0
6.8,36.65,4.35,7.5,0.61,8.33,7.45,0.18,1
6.72,36.68,2.8,7.56,0.55,9.31,7.09,0.18,0
6.85,36.63,1.33,7.37,0.58,8.72,7.49,0.17,1
7.04,36.55,2.44,7.56,0.58,9.44,7.51,0.18,1
